ID Imagem,ID Folha,Perímetro,Diâmetro Mínimo,Diâmetro Máximo,Excentricidade
Teste01,16,2969,301,342,1.1362126245847175
Teste01,17,2294,439,718,1.6355353075170842
Teste01,18,2657,382,583,1.5261780104712042
Teste01,19,2766,447,542,1.2125279642058167
Teste01,20,2195,322,483,1.5
Teste01,21,6706,474,936,1.9746835443037976
Teste01,22,4220,453,465,1.0264900662251655
Teste01,23,3306,555,775,1.3963963963963963
Teste01,24,2147,369,633,1.7154471544715446
Teste01,25,3190,565,632,1.1185840707964603
Teste01,26,2000,413,439,1.062953995157385
Teste01,27,6596,483,782,1.619047619047619
Teste01,28,3239,563,651,1.1563055062166963
Teste01,29,1526,116,725,6.25
Teste01,30,4330,695,727,1.0460431654676259
Teste01,31,2962,502,733,1.4601593625498008
Teste01,32,2337,490,540,1.1020408163265305
Teste01,33,5428,391,729,1.8644501278772379
Teste01,1,2880,534,589,1.1029962546816479
Teste01,2,3346,548,586,1.0693430656934306
Teste01,3,2062,394,650,1.649746192893401
Teste01,4,2283,435,725,1.6666666666666667
Teste01,5,2491,445,514,1.155056179775281
Teste01,6,2156,439,509,1.1594533029612757
Teste01,7,2115,463,568,1.2267818574514038
Teste01,8,2042,426,460,1.07981220657277
Teste01,9,2084,399,442,1.1077694235588973
Teste01,10,6082,497,615,1.2374245472837022
Teste01,11,2759,425,514,1.2094117647058824
Teste01,12,4173,429,478,1.1142191142191142
Teste01,13,3561,299,528,1.765886287625418
Teste01,14,4225,422,518,1.2274881516587677
Teste01,15,1945,404,433,1.0717821782178218
Teste01,16,2969,301,342,1.1362126245847175
Teste01,17,2294,439,718,1.6355353075170842
Teste01,18,2657,382,583,1.5261780104712042
Teste01,19,2766,447,542,1.2125279642058167
Teste01,20,2195,322,483,1.5
Teste01,21,6706,474,936,1.9746835443037976
Teste01,22,4220,453,465,1.0264900662251655
Teste01,23,3306,555,775,1.3963963963963963
Teste01,24,2147,369,633,1.7154471544715446
Teste01,25,3190,565,632,1.1185840707964603
Teste01,26,2000,413,439,1.062953995157385
Teste01,27,6596,483,782,1.619047619047619
Teste01,28,3239,563,651,1.1563055062166963
Teste01,29,1526,116,725,6.25
Teste01,30,4330,695,727,1.0460431654676259
Teste01,31,2962,502,733,1.4601593625498008
Teste01,32,2337,490,540,1.1020408163265305
Teste01,33,5428,391,729,1.8644501278772379
Teste01,34,2751,506,750,1.482213438735178
Teste01,35,2707,556,586,1.0539568345323742
Teste01,36,3281,504,661,1.3115079365079365
Teste01,37,1602,233,624,2.6781115879828326
Teste01,1,2880,534,589,1.1029962546816479
Teste01,2,3346,548,586,1.0693430656934306
Teste01,3,2062,394,650,1.649746192893401
Teste01,4,2283,435,725,1.6666666666666667
Teste01,5,2491,445,514,1.155056179775281
Teste01,6,2156,439,509,1.1594533029612757
Teste01,7,2115,463,568,1.2267818574514038
Teste01,8,2042,426,460,1.07981220657277
Teste01,9,2084,399,442,1.1077694235588973
Teste01,10,6082,497,615,1.2374245472837022
Teste01,11,2759,425,514,1.2094117647058824
Teste01,12,4173,429,478,1.1142191142191142
Teste01,13,3561,299,528,1.765886287625418
Teste01,14,4225,422,518,1.2274881516587677
Teste01,15,1945,404,433,1.0717821782178218
Teste01,16,2969,301,342,1.1362126245847175
Teste01,17,2294,439,718,1.6355353075170842
Teste01,18,2657,382,583,1.5261780104712042
Teste01,19,2766,447,542,1.2125279642058167
Teste01,20,2195,322,483,1.5
Teste01,21,6706,474,936,1.9746835443037976
Teste01,22,4220,453,465,1.0264900662251655
Teste01,23,3306,555,775,1.3963963963963963
Teste01,24,2147,369,633,1.7154471544715446
Teste01,25,3190,565,632,1.1185840707964603
Teste01,26,2000,413,439,1.062953995157385
Teste01,27,6596,483,782,1.619047619047619
Teste01,28,3239,563,651,1.1563055062166963
Teste01,29,1526,116,725,6.25
Teste01,30,4330,695,727,1.0460431654676259
Teste01,31,2962,502,733,1.4601593625498008
Teste01,32,2337,490,540,1.1020408163265305
Teste01,33,5428,391,729,1.8644501278772379
Teste01,34,2751,506,750,1.482213438735178
Teste01,35,2707,556,586,1.0539568345323742
Teste01,36,3281,504,661,1.3115079365079365
Teste01,37,1602,233,624,2.6781115879828326
Teste01,38,8034,695,714,1.0273381294964028
Teste01,39,4672,423,746,1.7635933806146573
Teste01,1,2880,534,589,1.1029962546816479
Teste01,2,3346,548,586,1.0693430656934306
Teste01,3,2062,394,650,1.649746192893401
Teste01,4,2283,435,725,1.6666666666666667
Teste01,5,2491,445,514,1.155056179775281
Teste01,6,2156,439,509,1.1594533029612757
Teste01,7,2115,463,568,1.2267818574514038
Teste01,8,2042,426,460,1.07981220657277
Teste01,9,2084,399,442,1.1077694235588973
Teste01,10,6082,497,615,1.2374245472837022
Teste01,11,2759,425,514,1.2094117647058824
Teste01,12,4173,429,478,1.1142191142191142
Teste01,13,3561,299,528,1.765886287625418
Teste01,14,4225,422,518,1.2274881516587677
Teste01,15,1945,404,433,1.0717821782178218
Teste01,16,2969,301,342,1.1362126245847175
Teste01,17,2294,439,718,1.6355353075170842
Teste01,18,2657,382,583,1.5261780104712042
Teste01,19,2766,447,542,1.2125279642058167
Teste01,20,2195,322,483,1.5
Teste01,21,6706,474,936,1.9746835443037976
Teste01,22,4220,453,465,1.0264900662251655
Teste01,23,3306,555,775,1.3963963963963963
Teste01,24,2147,369,633,1.7154471544715446
Teste01,25,3190,565,632,1.1185840707964603
Teste01,26,2000,413,439,1.062953995157385
Teste01,27,6596,483,782,1.619047619047619
Teste01,28,3239,563,651,1.1563055062166963
Teste01,29,1526,116,725,6.25
Teste01,30,4330,695,727,1.0460431654676259
Teste01,31,2962,502,733,1.4601593625498008
Teste01,32,2337,490,540,1.1020408163265305
Teste01,33,5428,391,729,1.8644501278772379
Teste01,34,2751,506,750,1.482213438735178
Teste01,35,2707,556,586,1.0539568345323742
Teste01,36,3281,504,661,1.3115079365079365
Teste01,37,1602,233,624,2.6781115879828326
Teste01,38,8034,695,714,1.0273381294964028
Teste01,39,4672,423,746,1.7635933806146573
